Suite/Test/Step Name,Browser,Description,Tag,Start time,End time,Duration,Status
"Arrays.sort(arrProdukNameSort, Collections.reverseOrder())",Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.000s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.000s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.001s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:15,0.000s,PASSED
,,,,,,,
Test Cases/Product Admin/TC-PA-017,Edge Chromium 117,User ingin mengurutkan Berat product dari yang terbesar ke yang terkecil,,2023-10-06 10:00:15,2023-10-06 10:00:37,22.517s,FAILED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 10:00:15,2023-10-06 10:00:36,21.262s,PASSED
"click(findTestObject(""Product Admin/Button Sort Berat""))",Edge Chromium 117,,,2023-10-06 10:00:36,2023-10-06 10:00:37,0.381s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Berat""), 10)",Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.529s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.000s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.001s,PASSED
"for ([i = 0, i < dataList.size(), (i++)])",Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.096s,PASSED
Arrays.sort(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.001s,PASSED
println(arrProdukNameOri),Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.000s,PASSED
println(arrProdukNameSort),Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.001s,PASSED
assert arrProdukNameOri == arrProdukNameSort,Edge Chromium 117,,,2023-10-06 10:00:37,2023-10-06 10:00:37,0.001s,FAILED
,,,,,,,
Test Cases/Product Admin/TC-PA-018,Edge Chromium 117,User ingin mengurutkan Berat product dari yang Terkecil ke yang Terbesar,,2023-10-06 10:00:37,2023-10-06 10:01:00,22.688s,FAILED
"callTestCase(findTestCase(""Product Admin/TC-PA-017""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 10:00:38,2023-10-06 10:01:00,22.449s,FAILED
,,,,,,,
Test Cases/Product Admin/TC-PA-019,Edge Chromium 117,User ingin mengurutkan product yang aktif dari yang aktif ke yang tidak aktif,,2023-10-06 10:01:00,2023-10-06 10:01:24,23.639s,PASSED
"callTestCase(findTestCase(""Product Admin/TC-PA-001""), [:], STOP_ON_FAILURE)",Edge Chromium 117,,,2023-10-06 10:01:00,2023-10-06 10:01:23,22.482s,PASSED
"click(findTestObject(""Product Admin/Button Sort Product NoOrYes""))",Edge Chromium 117,,,2023-10-06 10:01:23,2023-10-06 10:01:23,0.366s,PASSED
"dataList = findWebElements(findTestObject(""Object Repository/Product Admin/Data Product Aktif Or Tidak""), 10)",Edge Chromium 117,,,2023-10-06 10:01:23,2023-10-06 10:01:24,0.435s,PASSED
arrProdukNameOri = [],Edge Chromium 117,,,2023-10-06 10:01:24,2023-10-06 10:01:24,0.001s,PASSED
arrProdukNameSort = [],Edge Chromium 117,,,2023-10-06 10:01:24,2023-10-06 10:01:24,0.000s,PASSED
